Target,Reporter Countries,Source,Partner Countries,Element,Item Code,Item,Unit,Value,Value_scaled,Link Color,Commodity,,,,,,
30,Netherlands,4,Côte d'Ivoire,Import Quantity,662,"Cocoa, paste",tonnes,76637,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,9,United Kingdom of Great Britain and Northern Ireland,Processed,23610.01,"Cocoa, paste",tonnes,97636,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,7,Spain,Processed,23610.01,"Cocoa, paste",tonnes,101571,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,10,Italy,Processed,23610.01,"Cocoa, paste",tonnes,104989,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,3,Belgium,Processed,23610.01,"Cocoa, paste",tonnes,130261,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,8,France,Processed,23610.01,"Cocoa, paste",tonnes,166805,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,1,Germany,Processed,23610.01,"Cocoa, paste",tonnes,338611,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,0,Netherlands,Processed,23610.01,"Cocoa, paste",tonnes,361702,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,11,Slovakia,Processed,23610.01,"Cocoa, paste",tonnes,2432,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,16,Czechia,Processed,23610.01,"Cocoa, paste",tonnes,3830,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,17,Finland,Processed,23610.01,"Cocoa, paste",tonnes,3932,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,14,Croatia,Processed,23610.01,"Cocoa, paste",tonnes,4512,,"rgba(254, 141, 133, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,2,Ireland,Processed,F0665,"Cocoa, powder & cake",tonnes,1035,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,5,Austria,Processed,F0665,"Cocoa, powder & cake",tonnes,1096,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
27,Sweden,5,Austria,Import Quantity,665,"Cocoa, powder & cake",tonnes,1168,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
20,Denmark,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,1198,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,6,Poland,Import Quantity,665,"Cocoa, powder & cake",tonnes,1210,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,8,France,Import Quantity,665,"Cocoa, powder & cake",tonnes,1302,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,9,United Kingdom of Great Britain and Northern Ireland,Import Quantity,665,"Cocoa, powder & cake",tonnes,1335,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,3,Belgium,Import Quantity,665,"Cocoa, powder & cake",tonnes,1355,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,4,Côte d'Ivoire,Import Quantity,665,"Cocoa, powder & cake",tonnes,1400,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
34,Estonia,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,1444,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,1497,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
35,Romania,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,1525,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
23,Austria,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,1607,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
36,Hungary,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,1629,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
37,Slovakia,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,1674,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,1745,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,1979,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,8,France,Import Quantity,665,"Cocoa, powder & cake",tonnes,2234,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,2265,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,2340,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
40,Czechia,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,2349,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,5,Austria,Import Quantity,665,"Cocoa, powder & cake",tonnes,2408,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
